,Institution,Country,Artificial Intelligence,Telecommunication Engineering,Medical Science,Disease Analysis,Biomedical Research,Environmental Science,Pharmaceutical Science,Chemical Science,Energy and Power Systems,Social and Business Studies,Keywords,Cluster Keywords,Cluster,Subject Area
30,ACE Laboratory Services,Thailand,0.0083342755446465,0.0083334361401402,0.568223549246243,0.0083335204756629,0.3651037758494783,0.008333829805411,0.0083340136303443,0.0083338787321626,0.0083338217014063,0.0083358988745044,"['Antimicrobial resistance', 'Australia', 'Genetics', 'ST1', 'Streptococcus suis']",cancer health stress cell thailand,0,Medical Science
32,AGH University of Science and Technology,Poland,0.1037965013268965,0.0010419066059524,0.0010417976419755,0.0010417462905999,0.0010417059872706,0.4026466966132249,0.0010417162998018,0.0010416959617249,0.4862645092312669,0.0010417240412863,"['Clock Frequency', 'Reference Clock', 'Jitter', 'integrated circuit', 'Key performance indicator', 'Key Performance Indicators', 'Power Consumption', 'PLL', 'Clocks', 'Flicker Noise', 'Phase Noise', 'Bill Of Materials', 'Integrated Circuit Design', 'clock', 'digital logic', 'Integrated circuit synthesis', 'Clock Generator', 'Phase-locked Loop', 'jitter', 'Technology Node', 'Output Buffer']",energy power voltage analysis electric,8,Energy and Power Systems
33,ALBA Synchrotron,Spain,0.5800041082085021,0.0040000618275367,0.0040001844846853,0.0040001170202161,0.0040004794811525,0.0040009018568492,0.3879928243697634,0.004000163857419,0.0040006638768434,0.0040004950170319,"['3D Magnetization', 'Tilt Series', 'Magnetic domains', 'Circular Dichroism', 'Exchange Interaction', 'Magnetic State', 'Magnetic Imaging', 'Three-dimensional displays', 'Static Magnetic Field', 'Domain Wall', 'X-ray Magnetic Circular Dichroism', 'Nanoscale', 'Magnetic Stripes', 'Magnetic Vector', 'Au Nanoparticles', 'Rotation Axis', 'Magnetic Components', 'Vectors', 'Magnetic Signal', 'In-plane Magnetization', 'Magnetization', 'Tilt Angle', 'Sample Reconstruction', 'Magnetic Configuration', 'Magnetic resonance imaging', 'MISTRAL Beamline', 'Effect Of Thickness', 'Magnetic multilayers', 'Microscopy', 'Normal Incidence', 'Magnetic Orientation', 'Magnetic Circular Dichroism', 'Magnetic Contrast', 'Transmission X-ray Microscopy', 'Magnetic Texture', 'Perpendicular Magnetic Anisotropy', 'Stripe Pattern']",learning network data model neural,3,Artificial Intelligence
34,ASML,Netherlands,0.0083333411039987,0.9249815578223716,0.0083354154755397,0.0083342111175505,0.0083387115848584,0.0083356216094083,0.0083362298827085,0.0083370100814782,0.0083339099929885,0.0083339913290971,"['Analysis Of Control Systems', 'Industrial Machines', 'Control Design', 'Europe', 'Optical Sensors', 'Diagonal Matrix', 'Control Structure', 'Transfer Function', 'Integral Gain', 'Metrology', 'Linear Matrix Inequalities', 'Frequency Domain', 'Nyquist Criterion', 'Operation Mode', 'Stability analysis', 'Nonlinear Control', 'Single-input Single-output', 'Assessment Design', 'Control systems', 'Stability Assessment', 'Low-pass', 'Position Error', 'Frequency-domain analysis', 'Linear Counterparts', 'Linear Time-invariant', 'Settling Time', 'Closed-loop System', 'Stability Analysis', 'Multi-input Multi-output', 'Linear Time-invariant Systems', 'Industrial Inspection', 'Motion Systems', 'Linear Integration', 'Linear Control', 'Inspection', 'Filters', 'Stability Analysis Of Systems']",cells frequency antenna communication array,7,Telecommunication Engineering
35,Aalborg Universitet Energiteknik,Denmark,0.2511881937919795,0.0958284134849299,0.0017242410166096,0.0017244730196491,0.1354466567674337,0.0017242297387731,0.0017243651691196,0.0017243540397902,0.5071903006327299,0.001724772338985,"['Low-pressure Range', 'Chemical Reactions', 'Non-uniform Field', 'Space Charge', 'Reduced Pressure', 'Oil insulation', 'Electric Field Distribution', 'Voltage Magnitude', 'Discharges (electric)', 'Low-pressure Conditions', 'Pressure Drop', 'Voltage Pulses', 'Electric Field Strength', 'Endurance', 'Number Of Molecules', 'Atmospheric Pressure', 'Voltage Values', 'Influence Of Pressure', 'Time Lag', 'Electron Avalanche', 'Pulse Width', 'low pressure', 'Polyimide Film', 'polyimide', 'Partial discharges', 'Contact Point', 'medium frequency transformer', 'Power transformer insulation', 'Decrease In Pressure', 'Electric fields', 'Uniform Electric Field', 'Partial Discharge', 'Power Electronics', 'Sinusoidal Voltage', 'Insulation aging', 'partial discharge (PD)', 'Aging Process', 'Rise Time', 'Windings', 'Test System', 'Aging']",energy power voltage analysis electric,8,Energy and Power Systems
36,Aalborg University,Denmark,0.9065707204116346,0.0836717963393611,0.0012197330484384,0.0012196590574945,0.0012196359746648,0.0012197657480989,0.0012196805599051,0.0012195908171452,0.0012197655742274,0.0012196524690296,"['Protection device', 'Modular Multilevel Converters (MMC)', 'Offshore Wind', 'Slow Timescale', 'Offshore Wind Farms', 'Power System', 'Wind energy', 'Current Dynamics', 'Europe', 'Power system dynamics', 'Current Loop', 'Phase-locked Loop', 'Operating Characteristics', 'Multilevel converters', 'Protection Scheme', 'High Voltage Direct Current', 'Current Control', 'High-voltage techniques', 'Fault Location', 'Relay Protection', 'Wind Turbine', 'Short-circuit Fault', 'Point Of Common Coupling', 'Grid Code', 'Converter Control', 'Equilibrium State', 'Reactive Current', 'Multi-time Scale', 'Wind Farm', 'Wind farms', 'Wind turbines', 'Ac Grid', 'Flexible Control', 'Grid Voltage', 'Synchronization Dynamics', 'Transient Dynamics', 'Modular Multilevel Converter', 'Power electronics', 'Fast Timescale', 'Overcurrent Protection']",learning network data model neural,3,Artificial Intelligence
37,Aarhus Universitet,United Kingdom,0.010001870501969,0.0100015783941131,0.6054173141609676,0.0100000996465342,0.0100056665082002,0.0100043553034588,0.0100079432375607,0.0100001514053161,0.3145602574602433,0.0100007633816366,"['Arginine', 'Birth weight', 'Colostrum', 'Daily gain', 'Immunoglobulin']",cancer health stress cell thailand,0,Medical Science
38,Abbott Laboratories,Thailand,0.0111124287768929,0.0111168618534024,0.0111116116355326,0.0111139877073822,0.0111149301290931,0.0111145346255886,0.0111124665180755,0.0111142993647436,0.0111132315385289,0.8999756478507597,"['blood donors', 'blood screening', 'HTLV', 'retrovirus', 'seroprevalence', 'South-east Asia', 'Thailand', 'transfusion transmitted infection']",thailand social business based technology,1,Social and Business Studies
39,Abivax,France,0.0142861856117756,0.1806675421358908,0.4245929637280377,0.0142863432848779,0.0142863893989193,0.014288033864274,0.294733252442464,0.0142876235040624,0.0142858806256753,0.0142857854040224,"['entecavir', 'HBeAg negative hepatitis B virus infection', 'nucleos(t)ide discontinuation', 'tenofovir', 'Virological relapse']",cancer health stress cell thailand,0,Medical Science
40,Abou Bekr Belkaid University,Algeria,0.0090911965710729,0.0090919411141168,0.0090911747625121,0.0090910862136123,0.0090912721404164,0.0090909600205488,0.0090918565083593,0.918176469854073,0.0090913200336761,0.0090927227816119,"['Wavelet Transform', 'Highest Specificity', 'Hybrid Dataset', 'Highest Accuracy', 'EEG Signals', 'channel selection', 'supervised machine-learning', 'Benchmark Datasets', 'hybrid data', 'Epileptic Seizures', 'Channel Selection', 'Support Vector Machine', 'Highest Sensitivity', 'epileptic computer-aided diagnosis', 'Merging', 'Line Length', 'sEEG-based model', 'Epilepsy', 'Minimum Accuracy', 'Sensitivity', 'Machine Learning Classifiers', 'Multi-channel Signals', 'Support vector machines', 'Scalp', 'Relative Accuracy', 'Feature Engineering', 'Non-epileptic Seizures', 'Decision Tree', 'Diagnosis Of Epileptic Seizures', 'Average Accuracy', 'Naïve Bayes Model', 'K-nearest Neighbor', 'Minimum Sensitivity', 'Signal processing', 'Maximum Accuracy', 'Computational modeling']",carbon oil acid properties kidney,9,Chemical Science
