,Institution,Country,Artificial Intelligence,Telecommunication Engineering,Medical Science,Disease Analysis,Biomedical Research,Environmental Science,Pharmaceutical Science,Chemical Science,Energy and Power Systems,Social and Business Studies,Keywords,Cluster Keywords,Cluster,Subject Area
30,ACE Laboratory Services,Thailand,0.008334276,0.008333436,0.568223549,0.00833352,0.365103776,0.00833383,0.008334014,0.008333879,0.008333822,0.008335899,"['Antimicrobial resistance', 'Australia', 'Genetics', 'ST1', 'Streptococcus suis']",cancer health stress cell thailand,0,Medical Science
32,AGH University of Science and Technology,Poland,0.103796501,0.001041907,0.001041798,0.001041746,0.001041706,0.402646697,0.001041716,0.001041696,0.486264509,0.001041724,"['Clock Frequency', 'Reference Clock', 'Jitter', 'integrated circuit', 'Key performance indicator', 'Key Performance Indicators', 'Power Consumption', 'PLL', 'Clocks', 'Flicker Noise', 'Phase Noise', 'Bill Of Materials', 'Integrated Circuit Design', 'clock', 'digital logic', 'Integrated circuit synthesis', 'Clock Generator', 'Phase-locked Loop', 'jitter', 'Technology Node', 'Output Buffer']",energy power voltage analysis electric,8,Energy and Power Systems
33,ALBA Synchrotron,Spain,0.580004108,0.004000062,0.004000184,0.004000117,0.004000479,0.004000902,0.387992824,0.004000164,0.004000664,0.004000495,"['3D Magnetization', 'Tilt Series', 'Magnetic domains', 'Circular Dichroism', 'Exchange Interaction', 'Magnetic State', 'Magnetic Imaging', 'Three-dimensional displays', 'Static Magnetic Field', 'Domain Wall', 'X-ray Magnetic Circular Dichroism', 'Nanoscale', 'Magnetic Stripes', 'Magnetic Vector', 'Au Nanoparticles', 'Rotation Axis', 'Magnetic Components', 'Vectors', 'Magnetic Signal', 'In-plane Magnetization', 'Magnetization', 'Tilt Angle', 'Sample Reconstruction', 'Magnetic Configuration', 'Magnetic resonance imaging', 'MISTRAL Beamline', 'Effect Of Thickness', 'Magnetic multilayers', 'Microscopy', 'Normal Incidence', 'Magnetic Orientation', 'Magnetic Circular Dichroism', 'Magnetic Contrast', 'Transmission X-ray Microscopy', 'Magnetic Texture', 'Perpendicular Magnetic Anisotropy', 'Stripe Pattern']",learning network data model neural,3,Artificial Intelligence
34,ASML,Netherlands,0.008333341,0.924981558,0.008335415,0.008334211,0.008338712,0.008335622,0.00833623,0.00833701,0.00833391,0.008333991,"['Analysis Of Control Systems', 'Industrial Machines', 'Control Design', 'Europe', 'Optical Sensors', 'Diagonal Matrix', 'Control Structure', 'Transfer Function', 'Integral Gain', 'Metrology', 'Linear Matrix Inequalities', 'Frequency Domain', 'Nyquist Criterion', 'Operation Mode', 'Stability analysis', 'Nonlinear Control', 'Single-input Single-output', 'Assessment Design', 'Control systems', 'Stability Assessment', 'Low-pass', 'Position Error', 'Frequency-domain analysis', 'Linear Counterparts', 'Linear Time-invariant', 'Settling Time', 'Closed-loop System', 'Stability Analysis', 'Multi-input Multi-output', 'Linear Time-invariant Systems', 'Industrial Inspection', 'Motion Systems', 'Linear Integration', 'Linear Control', 'Inspection', 'Filters', 'Stability Analysis Of Systems']",cells frequency antenna communication array,7,Telecommunication Engineering
35,Aalborg Universitet Energiteknik,Denmark,0.251188194,0.095828413,0.001724241,0.001724473,0.135446657,0.00172423,0.001724365,0.001724354,0.507190301,0.001724772,"['Low-pressure Range', 'Chemical Reactions', 'Non-uniform Field', 'Space Charge', 'Reduced Pressure', 'Oil insulation', 'Electric Field Distribution', 'Voltage Magnitude', 'Discharges (electric)', 'Low-pressure Conditions', 'Pressure Drop', 'Voltage Pulses', 'Electric Field Strength', 'Endurance', 'Number Of Molecules', 'Atmospheric Pressure', 'Voltage Values', 'Influence Of Pressure', 'Time Lag', 'Electron Avalanche', 'Pulse Width', 'low pressure', 'Polyimide Film', 'polyimide', 'Partial discharges', 'Contact Point', 'medium frequency transformer', 'Power transformer insulation', 'Decrease In Pressure', 'Electric fields', 'Uniform Electric Field', 'Partial Discharge', 'Power Electronics', 'Sinusoidal Voltage', 'Insulation aging', 'partial discharge (PD)', 'Aging Process', 'Rise Time', 'Windings', 'Test System', 'Aging']",energy power voltage analysis electric,8,Energy and Power Systems
36,Aalborg University,Denmark,0.90657072,0.083671796,0.001219733,0.001219659,0.001219636,0.001219766,0.001219681,0.001219591,0.001219766,0.001219652,"['Protection device', 'Modular Multilevel Converters (MMC)', 'Offshore Wind', 'Slow Timescale', 'Offshore Wind Farms', 'Power System', 'Wind energy', 'Current Dynamics', 'Europe', 'Power system dynamics', 'Current Loop', 'Phase-locked Loop', 'Operating Characteristics', 'Multilevel converters', 'Protection Scheme', 'High Voltage Direct Current', 'Current Control', 'High-voltage techniques', 'Fault Location', 'Relay Protection', 'Wind Turbine', 'Short-circuit Fault', 'Point Of Common Coupling', 'Grid Code', 'Converter Control', 'Equilibrium State', 'Reactive Current', 'Multi-time Scale', 'Wind Farm', 'Wind farms', 'Wind turbines', 'Ac Grid', 'Flexible Control', 'Grid Voltage', 'Synchronization Dynamics', 'Transient Dynamics', 'Modular Multilevel Converter', 'Power electronics', 'Fast Timescale', 'Overcurrent Protection']",learning network data model neural,3,Artificial Intelligence
37,Aarhus Universitet,United Kingdom,0.010001871,0.010001578,0.605417314,0.0100001,0.010005667,0.010004355,0.010007943,0.010000151,0.314560257,0.010000763,"['Arginine', 'Birth weight', 'Colostrum', 'Daily gain', 'Immunoglobulin']",cancer health stress cell thailand,0,Medical Science
38,Abbott Laboratories,Thailand,0.011112429,0.011116862,0.011111612,0.011113988,0.01111493,0.011114535,0.011112467,0.011114299,0.011113232,0.899975648,"['blood donors', 'blood screening', 'HTLV', 'retrovirus', 'seroprevalence', 'South-east Asia', 'Thailand', 'transfusion transmitted infection']",thailand social business based technology,1,Social and Business Studies
39,Abivax,France,0.014286186,0.180667542,0.424592964,0.014286343,0.014286389,0.014288034,0.294733252,0.014287624,0.014285881,0.014285785,"['entecavir', 'HBeAg negative hepatitis B virus infection', 'nucleos(t)ide discontinuation', 'tenofovir', 'Virological relapse']",cancer health stress cell thailand,0,Medical Science
40,Abou Bekr Belkaid University,Algeria,0.009091197,0.009091941,0.009091175,0.009091086,0.009091272,0.00909096,0.009091857,0.91817647,0.00909132,0.009092723,"['Wavelet Transform', 'Highest Specificity', 'Hybrid Dataset', 'Highest Accuracy', 'EEG Signals', 'channel selection', 'supervised machine-learning', 'Benchmark Datasets', 'hybrid data', 'Epileptic Seizures', 'Channel Selection', 'Support Vector Machine', 'Highest Sensitivity', 'epileptic computer-aided diagnosis', 'Merging', 'Line Length', 'sEEG-based model', 'Epilepsy', 'Minimum Accuracy', 'Sensitivity', 'Machine Learning Classifiers', 'Multi-channel Signals', 'Support vector machines', 'Scalp', 'Relative Accuracy', 'Feature Engineering', 'Non-epileptic Seizures', 'Decision Tree', 'Diagnosis Of Epileptic Seizures', 'Average Accuracy', 'Naïve Bayes Model', 'K-nearest Neighbor', 'Minimum Sensitivity', 'Signal processing', 'Maximum Accuracy', 'Computational modeling']",carbon oil acid properties kidney,9,Chemical Science
41,Abrar University,Sudan,0.009092097,0.009093316,0.009091597,0.009090909,0.009092406,0.918165288,0.009091104,0.009093021,0.009095427,0.009094835,['Not Available'],control species activity antioxidant thailand,6,Environmental Science
42,Abuja,Nigeria,0.014286536,0.014286825,0.014286595,0.871423825,0.014285714,0.014285825,0.014286146,0.014286295,0.014286205,0.014286032,"['Temperature', 'Mechanical Properties Of PEDOT', 'Organic Solar Cells', 'Annealing Temperature', 'Perovskite Layer', 'Young’s Modulus', 'Blend Ratio', 'Hole-transporting Materials', 'Mechanical Properties', 'Temperature Regimes', 'Microstructural Changes', 'Heat Treatment', 'Scanning Probe Microscopy', 'Microstructure', 'Ammonium Hydroxide', 'Organic light emitting diodes', 'Thin Films', 'Probability Density Function', 'Surface morphology', 'Surface Morphology', 'Polymeric Materials', 'Blend Morphology', 'Properties Of Blends', 'Perovskites', 'Mechanical factors', 'Heat Treatment Temperature', 'Atomic Force Microscopy', 'Transition Metal Oxides', 'Organic Light-emitting Diodes', 'Optoelectronic Properties', 'Decrease In Hardness', 'Diode Applications', 'Annealing', 'Fluorine-doped Tin Oxide', 'Morphology', 'Hole transport materials', 'Spin-coated', 'Solar cell', 'Nanoparticles', 'PSS Film']",covid 19 analysis optical acid,4,Disease Analysis
43,Academia Sinica,France,0.010001364,0.010001399,0.010000522,0.010000113,0.010000246,0.010000031,0.01000022,0.308712073,0.01,0.611284031,"['Galaxies: Active', 'Galaxies: Evolution', 'Galaxies: High-redshift', 'Galaxies: Photometry', 'Galaxies: Star formation', 'Submillimeter: Galaxies']",thailand social business based technology,1,Social and Business Studies
46,Academy of Science,Thailand,0.009091163,0.009091182,0.00909145,0.009091202,0.009091995,0.009092328,0.009091081,0.009092317,0.009092093,0.918175189,"['Encapsulation', 'Fluoroalkylsilane', 'Natural rubber', 'Oil/water separation superhydrophobic/superoleophilic mesh']",thailand social business based technology,1,Social and Business Studies
47,Academy of Sciences of the Republic of Uzbekistan,France,0.007692678,0.007695785,0.100444288,0.007697934,0.084676759,0.007696738,0.007692647,0.00769557,0.007692348,0.761015253,['Not Available'],thailand social business based technology,1,Social and Business Studies
49,Access Network Service Systems Laboratories,Japan,0.811026778,0.073083388,0.001163473,0.001162917,0.001162834,0.001162962,0.107748905,0.001162844,0.001162927,0.001162973,"['Base Layer', 'Uniform Strategy', 'User Movement', 'Entire Video', 'Video Resolution', 'User Perspective', 'Degradation', 'Quality Degradation', 'Headphones', 'Part Of The Video', 'Macro Base Station', 'Hybrid multicast and unicast', 'Multicast', 'Unicast', 'JPEG-XS', 'Remote Server', 'Quality assessment', 'VR', 'Quality Of Experience', 'Servers', 'Virtual reality', 'Single Frame', 'Video recording', 'Video Coding', 'Multiple Users', 'Network Delay', 'Fixed Point', 'Video Delivery', 'Base Station', 'Video Quality', 'Edge Server', 'Video Content', '360-degree Video', 'Hyperbaric Oxygen', 'Small Base Stations']",learning network data model neural,3,Artificial Intelligence
50,Adamas University,India,0.890731571,0.001219712,0.001219587,0.099511505,0.001219559,0.001219587,0.001219569,0.001219584,0.001219668,0.001219657,"['Convolutional Layers', 'COVID-19', 'COVID-19 pneumonia', 'Computer-aided Diagnosis', 'Pulmonary diseases', 'Pleural Effusion', 'COVID Pneumonia', 'Pulmonary Infiltrates', 'Deep Convolutional Neural Network', 'Types Of Images', 'Chest X-ray Images', 'Max-pooling Layer', 'Network Training Process', 'Network Training', 'Coronavirus', 'Ground-glass Opacities', 'Halo Sign', 'Number Of Filters', 'CT images', 'Artificial Intelligence', 'Lung', 'Image Classification', 'Convolution', 'Artificial Neural Network', 'Convolution Neural Network', 'Computed tomography', 'Pneumonia Cases', 'Transfer Learning', 'chest X-rays', 'Public healthcare', 'non-COVID Pneumonia', 'Convolutional Neural Network', 'Chest X-ray', 'Chest Computed Tomography Scan', 'Coronavirus Disease', 'Pandemics', 'Chest Computed Tomography Images', 'Machine Learning', 'Neural Network', 'Convolutional Block']",learning network data model neural,3,Artificial Intelligence
51,Adi Shankara Institute of Engineering and Technology,India,0.673589063,0.001075585,0.001075392,0.001075826,0.001075407,0.001075639,0.001075323,0.001075353,0.001075501,0.317806911,"['Categorical Values', 'Markov Decision Process', 'security', 'Analytical models', 'Traffic Prediction', 'Smart Grid', 'Support vector machines', 'Smart Buildings', 'Data models', 'Industrial Internet Of Things', 'Measurement', 'Encryption', 'K-nearest Neighbor', 'Industrial Systems', 'Learning Algorithms', 'Industrial Internet of Things', 'the intrusion detection system', 'Computational modeling', 'machine learning', 'Attack detection', 'Regression Tree', 'Machine Learning Classifiers', 'Oil And Gas', 'Feature Column', 'Gradient Boosting', 'Anomaly Detection', 'Attack Detection', 'hybrid model', 'Hybrid Machine Learning', 'Threat assessment', 'Linear Discriminant Analysis', 'Positive Instances', 'Support Vector Machine', 'Smart Home', 'AdaBoost', 'Machine Learning', 'Neural Network', 'Computer crime', 'Performance Metrics']",learning network data model neural,3,Artificial Intelligence
53,Adolescent Treatment Coalition,United Kingdom,0.887494758,0.012501071,0.0125,0.012500487,0.0125,0.0125,0.012503616,0.0125,0.012500068,0.0125,"['Adolescents', 'HIV', 'HIV service delivery', 'HIV testing', 'HIV treatment', 'Research agenda']",learning network data model neural,3,Artificial Intelligence
54,Advanced Analysis Center,Thailand,0.010000235,0.010002166,0.010001645,0.010000368,0.524119279,0.010002139,0.010002063,0.395869635,0.010001682,0.010000787,"['Active site histidine', 'Amylomaltase', 'Corynebacterium glutamicum', 'Cyclization', 'Large-ring cyclodextrin (LR-CD)', 'Transglucosylation']",hiv thailand bone cells poly,5,Biomedical Research
