country,frequency,coordinates,latitude,longitude
Thailand,20131,"(14.8971921, 100.83273)",14.8971921,100.83273
United States,3267,"(39.7837304, -100.445882)",39.7837304,-100.445882
China,2075,"(35.0000663, 104.999955)",35.0000663,104.999955
Japan,1890,"(36.5748441, 139.2394179)",36.5748441,139.2394179
United Kingdom,1600,"(54.7023545, -3.2765753)",54.7023545,-3.2765753
India,1485,"(22.3511148, 78.6677428)",22.3511148,78.6677428
Australia,1340,"(-24.7761086, 134.755)",-24.7761086,134.755
Germany,1175,"(51.1638175, 10.4478313)",51.1638175,10.4478313
Malaysia,1150,"(4.5693754, 102.2656823)",4.5693754,102.2656823
South Korea,1063,"(36.638392, 127.6961188)",36.638392,127.6961188
Taiwan,1050,"(23.5983227, 120.83537694479215)",23.5983227,120.83537694479215
France,1033,"(46.603354, 1.8883335)",46.603354,1.8883335
Italy,915,"(42.6384261, 12.674297)",42.6384261,12.674297
Brazil,902,"(-10.3333333, -53.2)",-10.3333333,-53.2
Spain,845,"(39.3260685, -4.8379791)",39.3260685,-4.8379791
Pakistan,816,"(30.3308401, 71.247499)",30.3308401,71.247499
Belgium,767,"(50.6402809, 4.6667145)",50.6402809,4.6667145
Bulgaria,762,"(42.6073975, 25.4856617)",42.6073975,25.4856617
Switzerland,760,"(46.7985624, 8.2319736)",46.7985624,8.2319736
Poland,733,"(52.215933, 19.134422)",52.215933,19.134422
Mexico,712,"(19.4326296, -99.1331785)",19.4326296,-99.1331785
Austria,709,"(47.59397, 14.12456)",47.59397,14.12456
Iran,697,"(32.6475314, 54.5643516)",32.6475314,54.5643516
Russian Federation,660,"(64.6863136, 97.7453061)",64.6863136,97.7453061
Turkey,650,"(38.9597594, 34.9249653)",38.9597594,34.9249653
New Zealand,642,"(-41.5000831, 172.8344077)",-41.5000831,172.8344077
Egypt,639,"(26.2540493, 29.2675469)",26.2540493,29.2675469
Portugal,636,"(39.6621648, -8.1353519)",39.6621648,-8.1353519
Czech Republic,619,"(49.7439047, 15.3381061)",49.7439047,15.3381061
Greece,606,"(38.9953683, 21.9877132)",38.9953683,21.9877132
Finland,605,"(63.2467777, 25.9209164)",63.2467777,25.9209164
Ireland,595,"(52.865196, -7.9794599)",52.865196,-7.9794599
Colombia,585,"(4.099917, -72.9088133)",4.099917,-72.9088133
Hungary,580,"(47.1817585, 19.5060937)",47.1817585,19.5060937
Serbia,578,"(44.024322850000004, 21.07657433209902)",44.024322850000004,21.07657433209902
Croatia,564,"(45.3658443, 15.6575209)",45.3658443,15.6575209
Ukraine,559,"(49.4871968, 31.2718321)",49.4871968,31.2718321
Armenia,558,"(4.536307, -75.6723751)",4.536307,-75.6723751
Canada,545,"(61.0666922, -107.991707)",61.0666922,-107.991707
Ecuador,545,"(-1.3397668, -79.3666965)",-1.3397668,-79.3666965
Estonia,538,"(58.7523778, 25.3319078)",58.7523778,25.3319078
Lithuania,537,"(55.3500003, 23.7499997)",55.3500003,23.7499997
Georgia,537,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
Cyprus,537,"(34.9174159, 32.889902651331866)",34.9174159,32.889902651331866
Puerto Rico,522,"(18.2247706, -66.4858295)",18.2247706,-66.4858295
Belarus,499,"(53.4250605, 27.6971358)",53.4250605,27.6971358
Latvia,499,"(56.8406494, 24.7537645)",56.8406494,24.7537645
Sri Lanka,499,"(7.5554942, 80.7137847)",7.5554942,80.7137847
Indonesia,493,"(-2.4833826, 117.8902853)",-2.4833826,117.8902853
Viet Nam,474,"(15.9266657, 107.9650855)",15.9266657,107.9650855
Singapore,449,"(1.357107, 103.8194992)",1.357107,103.8194992
Qatar,381,"(25.3336984, 51.2295295)",25.3336984,51.2295295
Netherlands,368,"(52.2434979, 5.6343227)",52.2434979,5.6343227
Saudi Arabia,335,"(25.6242618, 42.3528328)",25.6242618,42.3528328
Sweden,326,"(59.6749712, 14.5208584)",59.6749712,14.5208584
Hong Kong,302,"(22.350627, 114.1849161)",22.350627,114.1849161
Montenegro,270,"(-29.6826112, -51.4687455)",-29.6826112,-51.4687455
Philippines,242,"(12.7503486, 122.7312101)",12.7503486,122.7312101
Chile,182,"(-31.7613365, -71.3187697)",-31.7613365,-71.3187697
South Africa,175,"(-28.8166236, 24.991639)",-28.8166236,24.991639
Denmark,174,"(55.670249, 10.3333283)",55.670249,10.3333283
Kuwait,146,"(29.3796532, 47.9734174)",29.3796532,47.9734174
Uzbekistan,122,"(41.32373, 63.9528098)",41.32373,63.9528098
Bangladesh,114,"(24.4769288, 90.2934413)",24.4769288,90.2934413
Nigeria,109,"(9.6000359, 7.9999721)",9.6000359,7.9999721
Norway,105,"(64.5731537, 11.52803643954819)",64.5731537,11.52803643954819
Iraq,100,"(33.0955793, 44.1749775)",33.0955793,44.1749775
Cambodia,99,"(12.5433216, 104.8144914)",12.5433216,104.8144914
Romania,92,"(45.9852129, 24.6859225)",45.9852129,24.6859225
Israel,91,"(30.8124247, 34.8594762)",30.8124247,34.8594762
Argentina,89,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817
USA,82,"(39.7837304, -100.445882)",39.7837304,-100.445882
Slovakia,76,"(48.7411522, 19.4528646)",48.7411522,19.4528646
Myanmar,73,"(17.1750495, 95.9999652)",17.1750495,95.9999652
United Arab Emirates,61,"(24.0002488, 53.9994829)",24.0002488,53.9994829
Peru,55,"(-6.8699697, -75.0458515)",-6.8699697,-75.0458515
Lebanon,51,"(40.375713, -76.4626118)",40.375713,-76.4626118
Nepal,48,"(28.3780464, 83.9999901)",28.3780464,83.9999901
Slovenia,43,"(46.1199444, 14.8153333)",46.1199444,14.8153333
Iceland,41,"(64.9841821, -18.1059013)",64.9841821,-18.1059013
Kenya,39,"(1.4419683, 38.4313975)",1.4419683,38.4313975
Uganda,39,"(1.5333554, 32.2166578)",1.5333554,32.2166578
Kazakhstan,38,"(48.1012954, 66.7780818)",48.1012954,66.7780818
Jordan,34,"(44.6663146, -93.6261918)",44.6663146,-93.6261918
Morocco,33,"(28.3347722, -10.371337908392647)",28.3347722,-10.371337908392647
Ethiopia,33,"(10.2116702, 38.6521203)",10.2116702,38.6521203
Laos,33,"(20.0171109, 103.378253)",20.0171109,103.378253
Ghana,30,"(8.0300284, -1.0800271)",8.0300284,-1.0800271
Tunisia,27,"(36.8002068, 10.1857757)",36.8002068,10.1857757
Algeria,26,"(28.0000272, 2.9999825)",28.0000272,2.9999825
Senegal,25,"(14.4750607, -14.4529612)",14.4750607,-14.4529612
Sudan,22,"(34.0678644, -102.524362)",34.0678644,-102.524362
Bolivia,21,"(-17.0568696, -64.9912286)",-17.0568696,-64.9912286
North Macedonia,20,"(41.6171214, 21.7168387)",41.6171214,21.7168387
UK,19,"(6.3110548, 20.5447525)",6.3110548,20.5447525
Costa Rica,18,"(10.2735633, -84.0739102)",10.2735633,-84.0739102
Palestine,18,"(31.7621153, -95.6307891)",31.7621153,-95.6307891
